pl_hostname,pl_letter,pl_status,pl_rvamp,pl_orbper,pl_orbeccen,pl_orblper,pl_pnum,,,,,,
TrES-2,b,3,181.3,2.47063,0,,1,,,,,,
HAT-P-7,b,3,211.8,2.20474,0,,1,,,,,,
HAT-P-11,b,3,10.42,4.88780244,0.218,19,2,,,,,,
Kepler-4,b,3,9.3,3.21346,0,,1,,,,,,
GJ 3341,b,3,3.04,14.207,0.31,42.32,1,,,,,,
GJ 3470,b,3,13.4,3.3366496,,,1,,,,,,
GJ 3634,b,3,5.59,2.64561,0.08,84,1,,,,,,
HAT-P-1,b,3,58.9,4.46529976,,,1,,,,,,
HAT-P-2,b,3,953.3,5.6335158,0.5172,188.01,1,,,,,,
HAT-P-3,b,3,89.1,2.8997,0,,1,,,,,,
HAT-P-4,b,3,81.1,3.056536,0,,1,,,,,,
HAT-P-5,b,3,138,2.78849,0,,1,,,,,,
HAT-P-6,b,3,115.5,3.85298,0,,1,,,,,,
HAT-P-8,b,3,153.1,3.07634,0,,1,,,,,,
HAT-P-9,b,3,82.1,3.92281072,0.084,152,1,,,,,,
HAT-P-12,b,3,35.8,3.2130598,0,,1,,,,,,
HAT-P-13,b,3,106.04,2.91625,0.0133,210,2,,,,,,
HAT-P-14,b,3,219,4.62767,0.11,,1,,,,,,
